Metric,Algorithm_1,Algorithm_2,Wins_Alg1,Wins_Alg2,Ties,Total_Comparisons,Win_Rate_Alg1_%,Win_Rate_Alg2_%,Tie_Rate_%,Dominant
GD,NSGA2,NSGA3,0,1,0,1,0.0,100.0,0.0,NSGA3
GD,NSGA2,UNSGA3,0,1,0,1,0.0,100.0,0.0,UNSGA3
GD,NSGA2,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
GD,NSGA2,Hybrids,1,0,0,1,100.0,0.0,0.0,NSGA2
GD,NSGA3,NSGA2,1,0,0,1,100.0,0.0,0.0,NSGA3
GD,NSGA3,UNSGA3,1,0,0,1,100.0,0.0,0.0,NSGA3
GD,NSGA3,SMSEMOA,1,0,0,1,100.0,0.0,0.0,NSGA3
GD,NSGA3,Hybrids,1,0,0,1,100.0,0.0,0.0,NSGA3
GD,UNSGA3,NSGA2,1,0,0,1,100.0,0.0,0.0,UNSGA3
GD,UNSGA3,NSGA3,0,1,0,1,0.0,100.0,0.0,NSGA3
GD,UNSGA3,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
GD,UNSGA3,Hybrids,1,0,0,1,100.0,0.0,0.0,UNSGA3
GD,SMSEMOA,NSGA2,1,0,0,1,100.0,0.0,0.0,SMSEMOA
GD,SMSEMOA,NSGA3,0,1,0,1,0.0,100.0,0.0,NSGA3
GD,SMSEMOA,UNSGA3,1,0,0,1,100.0,0.0,0.0,SMSEMOA
GD,SMSEMOA,Hybrids,1,0,0,1,100.0,0.0,0.0,SMSEMOA
GD,Hybrids,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
GD,Hybrids,NSGA3,0,1,0,1,0.0,100.0,0.0,NSGA3
GD,Hybrids,UNSGA3,0,1,0,1,0.0,100.0,0.0,UNSGA3
GD,Hybrids,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
IGD,NSGA2,NSGA3,1,0,0,1,100.0,0.0,0.0,NSGA2
IGD,NSGA2,UNSGA3,1,0,0,1,100.0,0.0,0.0,NSGA2
IGD,NSGA2,SMSEMOA,1,0,0,1,100.0,0.0,0.0,NSGA2
IGD,NSGA2,Hybrids,1,0,0,1,100.0,0.0,0.0,NSGA2
IGD,NSGA3,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
IGD,NSGA3,UNSGA3,0,1,0,1,0.0,100.0,0.0,UNSGA3
IGD,NSGA3,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
IGD,NSGA3,Hybrids,0,1,0,1,0.0,100.0,0.0,Hybrids
IGD,UNSGA3,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
IGD,UNSGA3,NSGA3,1,0,0,1,100.0,0.0,0.0,UNSGA3
IGD,UNSGA3,SMSEMOA,0,1,0,1,0.0,100.0,0.0,SMSEMOA
IGD,UNSGA3,Hybrids,0,1,0,1,0.0,100.0,0.0,Hybrids
IGD,SMSEMOA,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
IGD,SMSEMOA,NSGA3,1,0,0,1,100.0,0.0,0.0,SMSEMOA
IGD,SMSEMOA,UNSGA3,1,0,0,1,100.0,0.0,0.0,SMSEMOA
IGD,SMSEMOA,Hybrids,0,1,0,1,0.0,100.0,0.0,Hybrids
IGD,Hybrids,NSGA2,0,1,0,1,0.0,100.0,0.0,NSGA2
IGD,Hybrids,NSGA3,1,0,0,1,100.0,0.0,0.0,Hybrids
IGD,Hybrids,UNSGA3,1,0,0,1,100.0,0.0,0.0,Hybrids
IGD,Hybrids,SMSEMOA,1,0,0,1,100.0,0.0,0.0,Hybrids
HV,NSGA2,NSGA3,0,1,0,1,0.0,100.0,0.0,NSGA3
HV,NSGA2,UNSGA3,0,1,0,1,0.0,100.0,0.0,UNSGA3
HV,NSGA2,SMSEMOA,1,0,0,1,100.0,0.0,0.0,NSGA2
