Metric,Algorithm_1,Algorithm_2,Seed,NSGA2_Value,NSGA3_Value,Winner,Difference,UNSGA3_Value,SMSEMOA_Value,Hybrids_Value
GD,NSGA2,NSGA3,1,0.0173519245613342,0.0044753267381399,NSGA3,0.0128765978231943,,,
GD,NSGA2,NSGA3,2,0.0160368464792682,0.0097518986770356,NSGA3,0.006284947802232599,,,
GD,NSGA2,NSGA3,3,0.015736234749287,0.0049992013968305,NSGA3,0.010737033352456498,,,
GD,NSGA2,UNSGA3,1,0.0173519245613342,,UNSGA3,0.0055404765910181,0.0118114479703161,,
GD,NSGA2,UNSGA3,2,0.0160368464792682,,UNSGA3,0.008681952031368997,0.0073548944478992,,
GD,NSGA2,UNSGA3,3,0.015736234749287,,UNSGA3,0.010483284888833898,0.0052529498604531,,
GD,NSGA2,SMSEMOA,1,0.0173519245613342,,SMSEMOA,0.0090758157105064,,0.0082761088508278,
GD,NSGA2,SMSEMOA,2,0.0160368464792682,,SMSEMOA,0.011655033776759798,,0.0043818127025084,
GD,NSGA2,SMSEMOA,3,0.015736234749287,,SMSEMOA,0.009035085463097298,,0.0067011492861897,
GD,NSGA2,Hybrids,1,0.0173519245613342,,Hybrids,0.0155791698416655,,,0.0017727547196687
GD,NSGA2,Hybrids,2,0.0160368464792682,,Hybrids,0.0118948431937402,,,0.004142003285528
GD,NSGA2,Hybrids,3,0.015736234749287,,Hybrids,0.012790708632531398,,,0.0029455261167556
GD,NSGA3,UNSGA3,1,,0.0044753267381399,NSGA3,-0.007336121232176199,0.0118114479703161,,
GD,NSGA3,UNSGA3,2,,0.0097518986770356,UNSGA3,0.0023970042291363994,0.0073548944478992,,
GD,NSGA3,UNSGA3,3,,0.0049992013968305,NSGA3,-0.0002537484636226002,0.0052529498604531,,
GD,NSGA3,SMSEMOA,1,,0.0044753267381399,NSGA3,-0.0038007821126878998,,0.0082761088508278,
GD,NSGA3,SMSEMOA,2,,0.0097518986770356,SMSEMOA,0.0053700859745271995,,0.0043818127025084,
GD,NSGA3,SMSEMOA,3,,0.0049992013968305,NSGA3,-0.0017019478893592005,,0.0067011492861897,
GD,NSGA3,Hybrids,1,,0.0044753267381399,Hybrids,0.0027025720184711997,,,0.0017727547196687
GD,NSGA3,Hybrids,2,,0.0097518986770356,Hybrids,0.0056098953915076,,,0.004142003285528
GD,NSGA3,Hybrids,3,,0.0049992013968305,Hybrids,0.0020536752800749,,,0.0029455261167556
GD,UNSGA3,SMSEMOA,1,,,SMSEMOA,0.0035353391194882997,0.0118114479703161,0.0082761088508278,
GD,UNSGA3,SMSEMOA,2,,,SMSEMOA,0.0029730817453908,0.0073548944478992,0.0043818127025084,
GD,UNSGA3,SMSEMOA,3,,,UNSGA3,-0.0014481994257366003,0.0052529498604531,0.0067011492861897,
GD,UNSGA3,Hybrids,1,,,Hybrids,0.0100386932506474,0.0118114479703161,,0.0017727547196687
GD,UNSGA3,Hybrids,2,,,Hybrids,0.0032128911623712005,0.0073548944478992,,0.004142003285528
GD,UNSGA3,Hybrids,3,,,Hybrids,0.0023074237436975,0.0052529498604531,,0.0029455261167556
GD,SMSEMOA,Hybrids,1,,,Hybrids,0.0065033541311590995,,0.0082761088508278,0.0017727547196687
GD,SMSEMOA,Hybrids,2,,,Hybrids,0.0002398094169804004,,0.0043818127025084,0.004142003285528
GD,SMSEMOA,Hybrids,3,,,Hybrids,0.0037556231694341005,,0.0067011492861897,0.0029455261167556
IGD,NSGA2,NSGA3,1,0.0240547684841922,0.0208213329721079,NSGA3,0.003233435512084302,,,
IGD,NSGA2,NSGA3,2,0.0206741835429911,0.0262989761126674,NSGA2,-0.005624792569676303,,,
IGD,NSGA2,NSGA3,3,0.0229946254819575,0.0232172632073241,NSGA2,-0.00022263772536660134,,,
IGD,NSGA2,UNSGA3,1,0.0240547684841922,,UNSGA3,0.002873667032728802,0.0211811014514634,,
IGD,NSGA2,UNSGA3,2,0.0206741835429911,,NSGA2,-0.0074538044761406005,0.0281279880191317,,
IGD,NSGA2,UNSGA3,3,0.0229946254819575,,NSGA2,-0.004582795898408702,0.0275774213803662,,
IGD,NSGA2,SMSEMOA,1,0.0240547684841922,,SMSEMOA,0.005961369509109301,,0.0180933989750829,
IGD,NSGA2,SMSEMOA,2,0.0206741835429911,,SMSEMOA,0.0028675082691212994,,0.0178066752738698,
IGD,NSGA2,SMSEMOA,3,0.0229946254819575,,SMSEMOA,0.007630776886473,,0.0153638485954845,
