Algorithm,Seed,Population,Generation,Solutions,GD,IGD,HV,S,STE
Hybrids,1,18,1,18,0.19583900374851793,0.2547904516989833,0.45150404938036975,0.011587972364845388,0.00044175950333695513
Hybrids,1,45,5,45,0.15901221044170744,0.2169406402742948,0.505836269750394,0.008934746861793528,0.00022666389734719836
Hybrids,1,51,10,51,0.11888071546401924,0.1923254417718273,0.5529773674096795,0.011160489185577787,0.0003097728473595704
Hybrids,1,48,15,48,0.10088624112019028,0.15898445508519415,0.5970524868532687,0.012571787679258489,0.0003327070933251461
Hybrids,1,51,20,51,0.06589121790858292,0.133807747515163,0.6396520863338637,0.009253975746396652,0.00021132824967945056
Hybrids,1,84,25,84,0.05252708376692285,0.11893022537638416,0.6575939747048083,0.007834846499751693,0.00017304063243441783
Hybrids,1,75,30,75,0.043225944311247884,0.10817364305756101,0.6756551479028717,0.005979950900262905,0.00011503189333764164
Hybrids,1,90,35,90,0.04380293476950591,0.10035490370302436,0.6883612505373837,0.0063045987413621754,0.00010254926670476499
Hybrids,1,142,40,142,0.03480714987456299,0.08884838447173068,0.7080215265681873,0.008047089615287087,0.00014885333721708255
Hybrids,1,143,45,143,0.033149966324777146,0.08528833824344398,0.7230194653939231,0.006249502869533419,9.863772948078942e-05
Hybrids,1,186,50,186,0.02710625194370043,0.07984513908556538,0.7286577092332976,0.006430184121447562,0.0001112914050762658
Hybrids,1,190,55,190,0.026902671291375538,0.07795436658704105,0.7351365716887519,0.005017259107181601,6.985862986357859e-05
Hybrids,1,161,60,161,0.02481297388434003,0.07602303406825778,0.7366509203354288,0.004223689381606832,4.928678841164218e-05
Hybrids,1,159,65,159,0.02357616971597661,0.07282703434654711,0.7387316197671858,0.0037865374606686967,3.942963654194949e-05
Hybrids,1,185,70,185,0.021052294920611468,0.0711910370408882,0.7414597599626733,0.006193897143630593,0.00010668801278382736
Hybrids,1,180,75,180,0.0201015653834418,0.06972324540795274,0.7426667957370123,0.006590865004635349,0.00011928110164774079
Hybrids,1,179,80,179,0.019009159241853184,0.06624734199244081,0.7496507274208155,0.0041256408673148335,4.7444495698389835e-05
Hybrids,1,172,85,172,0.01854581409208617,0.06266121044044896,0.756107616503336,0.004761685168299951,6.332600684277306e-05
Hybrids,1,185,90,185,0.017847713549131408,0.061607101901913035,0.756346631702388,0.004776673175749146,6.36991111727544e-05
Hybrids,1,179,95,179,0.018833729316032808,0.06607287971440441,0.760716636688242,0.0028022119214989394,2.4701610207211308e-05
Hybrids,1,183,100,183,0.017969209994605783,0.06524736824786508,0.7602614997517805,0.0026424808632623652,2.248422850139507e-05
Hybrids,1,224,105,224,0.01932868772351403,0.06022616835919217,0.766364859636246,0.0024749104161475035,1.828064265734237e-05
Hybrids,1,224,110,224,0.01863365612478508,0.057758678648327864,0.7690423295733878,0.002892269122013643,2.2950739991966004e-05
Hybrids,1,198,115,198,0.019145376348353987,0.056720296552583614,0.772219295493725,0.002907108738078324,2.373699056408792e-05
Hybrids,1,207,120,207,0.0199045830074918,0.05451925936757512,0.784259928331047,0.0027450735503789492,1.9233680811841626e-05
Hybrids,1,208,125,208,0.018762807468549966,0.052939595461606155,0.7861309285658715,0.003255594548044004,2.7234889068964757e-05
Hybrids,1,212,130,212,0.018053443730186167,0.05164966478200413,0.7867273853209403,0.0032425559766173814,2.67233714561643e-05
Hybrids,1,213,135,213,0.018211518927323686,0.05095894802152146,0.7894670886097008,0.00305649024816437,2.3748227124514512e-05
Hybrids,1,221,140,221,0.01759455007038971,0.049646975100296496,0.7918166461246102,0.003420671854535803,2.764192122994355e-05
Hybrids,1,218,145,218,0.016163243500346973,0.046737259251499234,0.794082038464238,0.003483081283448069,2.9080607220317572e-05
Hybrids,1,224,150,224,0.01525459851784146,0.046833927344624056,0.7963512669837778,0.0034139849448302935,2.7504057834085804e-05
Hybrids,1,229,155,229,0.015885704747268824,0.04548184361701312,0.7985739327199108,0.003340389108346013,2.5914475469062962e-05
Hybrids,1,212,160,212,0.015671782234522064,0.04444416879132815,0.8037248000762048,0.003321254639412465,2.492457557234563e-05
Hybrids,1,221,165,221,0.015532386943860079,0.04345980776933006,0.8084437357611725,0.0038230124582806836,3.237912181663641e-05
Hybrids,1,215,170,215,0.01605673553067785,0.04329752640896803,0.8087973294395948,0.0035637543290539535,2.797208514739256e-05
Hybrids,1,197,175,197,0.014660425588289344,0.042661345575038666,0.8103046617816105,0.0038835159816740937,3.5333771422749344e-05
Hybrids,1,202,180,202,0.01367384222476777,0.041811147794419794,0.8128101576615041,0.0038381327205690963,3.3166016157190414e-05
Hybrids,1,215,185,215,0.013205662795127287,0.04015357440483138,0.8162708862853421,0.0036499998643784426,3.0344158615894327e-05
Hybrids,1,214,190,214,0.013322832286605427,0.04003742615876642,0.8173836971218322,0.003579702561061478,2.7007360407651888e-05
Hybrids,1,227,195,227,0.013332408802009223,0.039609344856966634,0.817538556142183,0.00331846315269722,2.320307280526573e-05
Hybrids,1,221,200,221,0.013496854596234745,0.039239854329606305,0.8177018485697829,0.003629315002420997,2.775703071732646e-05
Hybrids,1,235,205,235,0.013418179979477161,0.03699551628001889,0.8247685661852333,0.0036958525697044576,2.7348424979566867e-05
Hybrids,1,252,210,252,0.012658440386785083,0.034170955595044954,0.8280099229077833,0.0036534504644715987,2.642494254435546e-05
Hybrids,1,268,215,268,0.013138933850362874,0.0332406144510731,0.8281708092761475,0.0037032280663413628,2.714346188770777e-05
Hybrids,1,271,220,271,0.013035287932640211,0.03285845138332472,0.8291168720795591,0.00322794620621239,2.0264457178395714e-05
Hybrids,1,269,225,269,0.012410720797143103,0.031427967320201644,0.829778870680457,0.003958018825613917,3.043275387635956e-05
Hybrids,1,274,230,274,0.012573184273677936,0.031466232961935944,0.8303490634404607,0.003796517621836935,2.7969117143930894e-05
Hybrids,1,279,235,279,0.012934860506785844,0.03006121629778868,0.8304065810627261,0.0033260615859535534,2.11797622308609e-05
Hybrids,1,275,240,275,0.01258222973917379,0.029888443109476925,0.8320769895311906,0.0031518548667568386,1.902747593447978e-05
Hybrids,1,276,245,276,0.01225407987393806,0.028642194590080588,0.8326597040099222,0.0036243243708819887,2.5011451698373575e-05
Hybrids,1,283,250,283,0.012112648739935672,0.028428286402751902,0.83320088616018,0.0037174584451795576,2.627940299814168e-05
Hybrids,1,287,255,287,0.01214418943397087,0.028944112478370868,0.8351572279159079,0.0036106745679041832,2.4151466382537648e-05
Hybrids,1,282,260,282,0.012261353705584108,0.02941622899547607,0.8353398383421724,0.0038283053697899037,2.7268361335978744e-05
Hybrids,1,272,265,272,0.012220174368561458,0.029381454019141866,0.8356193997013611,0.0045971892184281,3.936414020518062e-05
Hybrids,1,262,270,262,0.011972091029470769,0.028845171954940463,0.8357352121877569,0.003911136194692232,2.915572685398349e-05
Hybrids,1,272,275,272,0.01238049759190976,0.027942271139542087,0.840802422055361,0.004225724725652364,3.333152305345254e-05
Hybrids,1,278,280,278,0.012669736197243224,0.02785040566175042,0.8408608682002918,0.004298429865644519,3.448560563232269e-05
Hybrids,1,278,285,278,0.012199006682261721,0.027017531823839463,0.8415767182157803,0.0038797330378311117,2.7498544210916437e-05
Hybrids,1,280,290,280,0.012534335121094248,0.02703095576452812,0.8416688117395558,0.0036554308746239664,2.4410235483695797e-05
Hybrids,1,275,295,275,0.012488712271722751,0.02637012441793859,0.8422974768498543,0.004027615764593367,2.9531868971746494e-05
Hybrids,1,277,300,277,0.012191612860377822,0.02595196455296877,0.8426138000504215,0.004113938841135599,3.1092660500472255e-05
Hybrids,1,257,305,257,0.012929963190891704,0.024801453711122096,0.8428766866258853,0.004075290316090454,3.0501278715806773e-05
Hybrids,1,262,310,262,0.012952892800615018,0.024514858965527995,0.8475929192760578,0.0036879604254311483,2.453772581184188e-05
Hybrids,1,263,315,263,0.012785406942503078,0.02434516414182723,0.8533397368107376,0.003678374461242007,2.4080857005971078e-05
Hybrids,1,259,320,259,0.012580677139014847,0.023981880113803773,0.8533784276982137,0.0038516498104202907,2.608715457512646e-05
Hybrids,1,258,325,258,0.01292212314519587,0.02314769105662366,0.8535738337292798,0.004299477843279622,3.25325197010832e-05
Hybrids,1,263,330,263,0.013202849321877413,0.021843476839238735,0.8538100767554505,0.004258776904048118,3.172368369512239e-05
Hybrids,1,271,335,271,0.012914063352052132,0.02134995786626019,0.8538626715975851,0.0038394384622703814,2.550322988919213e-05
Hybrids,1,267,340,267,0.012686258803670513,0.02122863270268173,0.8538988409098036,0.0042838607219339245,3.205979525732885e-05
Hybrids,1,270,345,270,0.012328227302710045,0.02069996099219551,0.8539657872929914,0.004436466920640922,3.394079349944704e-05
Hybrids,1,266,350,266,0.012518286029567532,0.020102322934298117,0.8547702664730223,0.004557036804125757,3.3705426092591084e-05
Hybrids,1,271,355,271,0.012352851409073903,0.01939590118424074,0.8548781014599618,0.004243425015057813,2.918873071040658e-05
Hybrids,1,271,360,271,0.012085664189579995,0.01876997345419478,0.8536019502972744,0.004551541501910065,3.3481826075037435e-05
Hybrids,1,261,365,261,0.011825765904217689,0.019510168176813402,0.8536369734704771,0.004699604174856313,3.595544358288133e-05
Hybrids,1,262,370,262,0.011973249249446549,0.019355574194209243,0.856741246649358,0.004309051550698187,3.0061945457978684e-05
Hybrids,1,268,375,268,0.011723682378791893,0.019324597005554323,0.8568131228635011,0.004160473844031553,2.802218809003651e-05
Hybrids,1,272,380,272,0.012170579610750357,0.019052409270695167,0.8568697407731067,0.003887550930585506,2.446497158598636e-05
Hybrids,1,268,385,268,0.012233782427737478,0.01893238122419757,0.8569654173837591,0.0036928136652405194,2.2029652788557525e-05
Hybrids,1,267,390,267,0.012011738328979149,0.018910719431073413,0.8570536530279962,0.0037559793475501835,2.2790053623186763e-05
Hybrids,1,262,395,262,0.012050757001489557,0.01879347835146385,0.8570880617024064,0.0038054660173951265,2.3396226180562734e-05
Hybrids,1,263,400,263,0.011760618512563057,0.018659002646428814,0.8571316116887993,0.0035794891816532557,2.0699787953935745e-05
Hybrids,1,236,405,236,0.0131575501098689,0.01838684727996757,0.8572571837991642,0.00362724343120837,2.1265072982292553e-05
Hybrids,1,243,410,243,0.013691463719844555,0.018086208912167563,0.8574076381097948,0.003841750789411141,2.3851660391420282e-05
Hybrids,1,243,415,243,0.01385076220337635,0.017844780188396244,0.8599392849782749,0.004619120214651766,3.372741815247651e-05
Hybrids,1,265,420,265,0.014114383722844188,0.01770361261649188,0.8659122959084049,0.004590902481286551,3.2963879071463737e-05
Hybrids,1,258,425,258,0.01345211169228645,0.01740088662581608,0.8660179362881113,0.004632973040034638,3.328918793880583e-05
Hybrids,1,261,430,261,0.01359514247288148,0.01701838826822161,0.8661549631156009,0.004648239672121535,3.3507440712885425e-05
Hybrids,1,259,435,259,0.013754716888709533,0.017137461847083778,0.8663494913730017,0.004347499153702537,2.9312721569650557e-05
Hybrids,1,251,440,251,0.013947589215752072,0.016593347656340095,0.8689387968025047,0.004427267714708154,3.0273306232033248e-05
Hybrids,1,253,445,253,0.013405733791090996,0.016345570603160373,0.8705883269713456,0.005170738556164636,4.052872336630352e-05
Hybrids,1,254,450,254,0.013526507685090217,0.016529903392242747,0.8707288048629727,0.00467257131050274,3.340708058363434e-05
Hybrids,1,254,455,254,0.013875248494394886,0.016500364291915894,0.8707924991699781,0.004662403741896223,3.321858303815682e-05
Hybrids,1,263,460,263,0.013569521204172465,0.016227760825204787,0.8708178327621958,0.004410579149525763,2.972308257016819e-05
Hybrids,1,255,465,255,0.013087540604357066,0.015884229129963776,0.8708984663369878,0.004993672166444047,3.834423290493848e-05
Hybrids,1,253,470,253,0.01290569489963181,0.01605628152197753,0.8710289936928097,0.004948850337789529,3.674324608018736e-05
Hybrids,1,261,475,261,0.013403368020051723,0.016121243675647007,0.8711586782527196,0.004860263073979286,3.543525924455278e-05
Hybrids,1,262,480,262,0.013114627935389556,0.01587868554377585,0.8712495014755275,0.00482326052270166,3.4897243642184486e-05
Hybrids,1,254,485,254,0.012953768898239999,0.015974925056913194,0.8712608754442,0.004358168408228617,2.8495095221475738e-05
Hybrids,1,258,490,258,0.013290648371426825,0.016029512223817155,0.8712862771130859,0.004294233780906951,2.7511014242650375e-05
Hybrids,1,253,495,253,0.01252394079238029,0.015948917339018383,0.8713045366400292,0.004358901736482614,2.8530959087338204e-05
Hybrids,1,251,500,251,0.013047861363020012,0.015287637998406926,0.8725600283443848,0.0038654849280842906,2.2033217238860795e-05
