Algorithm,Seed,Population,Generation,Solutions,TimeDelta,GD,IGD,HV,S,STE
NSGA2,1,23,1,23,0.0,0.20897486416304262,0.2567381300457067,0.4618048400290665,0.009112165155838358,0.00025647104855153045
NSGA2,1,21,5,21,3.853282,0.16926661632665643,0.2208244708112668,0.5015034713781882,0.013020481280035207,0.00047937425328527776
NSGA2,1,36,10,36,3.6280289999999997,0.12502170929456538,0.19086138164920166,0.5529322282712702,0.011732607193214875,0.00031881859131403876
NSGA2,1,35,15,35,4.128165,0.08875755358376637,0.1510143604286053,0.6042788321275779,0.009618691659006643,0.00023892646110163188
NSGA2,1,57,20,57,4.109764,0.06463747227837353,0.12988862282445818,0.6382282719261764,0.011323219178257486,0.00032408447942332486
NSGA2,1,61,25,61,4.298953,0.04783456191654302,0.10584064376943152,0.6699502774104902,0.010300562478381313,0.00027387830689750407
NSGA2,1,77,30,77,4.533125,0.0458178085572463,0.09005661994619218,0.6994029512002616,0.007528751547000709,0.00013896718398712
NSGA2,1,73,35,73,4.055694,0.03276646246987761,0.07642600156256821,0.7336975032279415,0.01085715313727902,0.0002681341771048949
NSGA2,1,134,40,134,3.80005,0.03129333405520338,0.068998193160409,0.7453712301929701,0.007806481842649532,0.00013629800519213318
NSGA2,1,190,45,190,4.229011,0.028308775740280536,0.06425011544678388,0.7495304361069091,0.00442661231026119,4.361651378174636e-05
NSGA2,1,191,50,191,3.608186,0.024576362891371665,0.05812840678463223,0.7551221340415524,0.005220079296092526,5.7115267529961134e-05
NSGA2,1,209,55,209,4.599893,0.02404080121014004,0.05740148842372214,0.7601218254758485,0.0043579410956266895,4.3277208138463854e-05
NSGA2,1,266,60,266,4.319485,0.021152497768871417,0.05331382855143136,0.7697994068995289,0.003400335706798967,2.4429294193905422e-05
NSGA2,1,332,65,332,4.346432,0.019822398315590573,0.049982829583752796,0.7739767677430416,0.003787376242483848,2.9781845593544677e-05
NSGA2,1,351,70,351,4.1635159999999996,0.019597225389606728,0.04943603696928682,0.7809091766007465,0.0030732662390782852,1.9066161753734925e-05
NSGA2,1,371,75,371,4.897577,0.01804171527872986,0.048064310910432846,0.785081029050339,0.002661862349322237,1.5057923648727808e-05
NSGA2,1,400,80,400,4.275234,0.017806726499187246,0.04515980417908985,0.7887499646346358,0.002840374944420641,1.659631268060356e-05
NSGA2,1,400,85,400,4.714031,0.01713708610612674,0.042977905703935636,0.7967784437304374,0.0027409647036060647,1.5003530785865852e-05
NSGA2,1,400,90,400,4.827562,0.01687769339165348,0.04170018842809309,0.7974020548390918,0.00279085179530063,1.529770123814916e-05
