Metric,Algorithm_1,Algorithm_2,Total_Comparisons,Wins_Alg1,Wins_Alg2,Ties,Win_Rate_Alg1_%,Win_Rate_Alg2_%,Tie_Rate_%,Dominant_Algorithm
GD,NSGA2,NSGA3,3,0,3,0,0.0,100.0,0.0,NSGA3
GD,NSGA2,UNSGA3,3,0,3,0,0.0,100.0,0.0,UNSGA3
GD,NSGA2,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
GD,NSGA2,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
GD,NSGA3,UNSGA3,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NSGA3
GD,NSGA3,SMSEMOA,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NSGA3
GD,NSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
GD,UNSGA3,SMSEMOA,3,1,2,0,33.33333333333333,66.66666666666666,0.0,SMSEMOA
GD,UNSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
GD,SMSEMOA,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
IGD,NSGA2,NSGA3,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NSGA2
IGD,NSGA2,UNSGA3,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NSGA2
IGD,NSGA2,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
IGD,NSGA2,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
IGD,NSGA3,UNSGA3,3,3,0,0,100.0,0.0,0.0,NSGA3
IGD,NSGA3,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
IGD,NSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
IGD,UNSGA3,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
IGD,UNSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
IGD,SMSEMOA,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
HV,NSGA2,NSGA3,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NSGA2
HV,NSGA2,UNSGA3,3,0,3,0,0.0,100.0,0.0,UNSGA3
HV,NSGA2,SMSEMOA,3,3,0,0,100.0,0.0,0.0,NSGA2
HV,NSGA2,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
HV,NSGA3,UNSGA3,3,0,3,0,0.0,100.0,0.0,UNSGA3
HV,NSGA3,SMSEMOA,3,2,1,0,66.66666666666666,33.33333333333333,0.0,NSGA3
HV,NSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
HV,UNSGA3,SMSEMOA,3,3,0,0,100.0,0.0,0.0,UNSGA3
HV,UNSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
HV,SMSEMOA,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
S,NSGA2,NSGA3,3,1,2,0,33.33333333333333,66.66666666666666,0.0,NSGA3
S,NSGA2,UNSGA3,3,1,2,0,33.33333333333333,66.66666666666666,0.0,UNSGA3
S,NSGA2,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
S,NSGA2,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
S,NSGA3,UNSGA3,3,1,2,0,33.33333333333333,66.66666666666666,0.0,UNSGA3
S,NSGA3,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
S,NSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
S,UNSGA3,SMSEMOA,3,1,2,0,33.33333333333333,66.66666666666666,0.0,SMSEMOA
S,UNSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
S,SMSEMOA,Hybrids,3,1,2,0,33.33333333333333,66.66666666666666,0.0,Hybrids
STE,NSGA2,NSGA3,3,3,0,0,100.0,0.0,0.0,NSGA2
STE,NSGA2,UNSGA3,3,3,0,0,100.0,0.0,0.0,NSGA2
STE,NSGA2,SMSEMOA,3,1,2,0,33.33333333333333,66.66666666666666,0.0,SMSEMOA
STE,NSGA2,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
STE,NSGA3,UNSGA3,3,0,3,0,0.0,100.0,0.0,UNSGA3
STE,NSGA3,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
STE,NSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
STE,UNSGA3,SMSEMOA,3,0,3,0,0.0,100.0,0.0,SMSEMOA
STE,UNSGA3,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
STE,SMSEMOA,Hybrids,3,0,3,0,0.0,100.0,0.0,Hybrids
