Algorithm,Seed,Population,Generation,Solutions,GD,IGD,HV,S,STE
Hybrids,1,25,1,25,0.20888915768335856,0.27133822471848423,0.4714289830489322,0.008543670222934615,0.00020033404490443118
Hybrids,1,46,5,46,0.1550876797592513,0.23357123009332256,0.5210012282410936,0.014628331957284108,0.0004613393961762258
Hybrids,1,37,10,37,0.1023415937872376,0.18971945546430022,0.5919298257901723,0.007619743872528032,0.00014917669281478714
Hybrids,1,54,15,54,0.06925711864276413,0.15716445607250676,0.6454700446008466,0.010493394190293028,0.00027213605118094373
Hybrids,1,77,20,77,0.0638504648563669,0.13390724166964085,0.6600483556489253,0.009867803126690167,0.00021318702754339816
Hybrids,1,64,25,64,0.04301103694521237,0.11407100684014472,0.6911040849305219,0.007800208670291337,0.00017742962799335014
Hybrids,1,94,30,94,0.040129202456759376,0.09980961737653868,0.7124074759659877,0.00752258525461079,0.00016317987863761878
Hybrids,1,124,35,124,0.04000184208962245,0.08937135560138426,0.7359454207358104,0.0038828797698401453,4.042119886166185e-05
Hybrids,1,91,40,91,0.026736209872352236,0.07722307317138595,0.7503032046682878,0.008268018322974278,0.0001768942981850017
Hybrids,1,107,45,107,0.018535853872297423,0.06780207352694469,0.7714243316239227,0.007315322263462951,0.00012743400152074414
Hybrids,1,153,50,153,0.016955379772754426,0.06364766528212196,0.7784443626022601,0.009907927399603703,0.00020201814287655275
Hybrids,1,178,55,178,0.016377960615011563,0.058194665943659685,0.7906003788548903,0.006620779259915758,9.510299417789495e-05
Hybrids,1,221,60,221,0.01233171794411164,0.05623885503065741,0.796476909649824,0.005794798945325033,7.125589276520377e-05
Hybrids,1,270,65,270,0.011098324335483852,0.055163615073106666,0.8027413307086693,0.006166720476895056,8.196601535005953e-05
Hybrids,1,320,70,320,0.009346798959793142,0.05082201387501864,0.803403840034666,0.005467460405061379,6.840965064758399e-05
Hybrids,1,371,75,371,0.008495059302939343,0.04964478137558965,0.8084133574122058,0.003342250501200586,2.7452461543881172e-05
Hybrids,1,428,80,428,0.007956443779991551,0.04682606489531506,0.8191429706058225,0.002692564250932972,1.8217313608468728e-05
Hybrids,1,522,85,522,0.007388348969950458,0.04393193442257437,0.8250096918841475,0.002449613524789965,1.4724019453985259e-05
Hybrids,1,657,90,657,0.0068994566600950385,0.041788966681137234,0.826686472720749,0.004245795682788627,3.5846526759624474e-05
Hybrids,1,653,95,653,0.006957682276542715,0.040024041240041844,0.8283442294192283,0.002815035826422692,1.570812585824118e-05
Hybrids,1,709,100,709,0.006271917205151012,0.04039485878801344,0.8329324690041898,0.0038544348434644236,3.1940397500955094e-05
Hybrids,1,642,105,642,0.006212904038545187,0.03844576629585961,0.8358805462804002,0.002438438714991262,1.3769645470057596e-05
Hybrids,1,721,110,721,0.0058067093259915525,0.03782620099490715,0.8395222313513258,0.0021787580620774307,1.0904302593786805e-05
Hybrids,1,751,115,751,0.005465718791340864,0.03519072546579785,0.8426155944682306,0.002046297839351314,9.974467833938567e-06
Hybrids,1,750,120,750,0.004876621799802677,0.03462536981100107,0.842806005865001,0.002091525027524985,1.0489234916815437e-05
Hybrids,1,819,125,819,0.0046516698192894685,0.030795441747331058,0.8431600537604921,0.0025095811245678295,1.4348802447293877e-05
Hybrids,1,872,130,872,0.00442806101813047,0.030259906360979843,0.8511887291684633,0.0021995733228792006,1.1050981181552237e-05
Hybrids,1,850,135,850,0.004349023525550411,0.02975434634371319,0.8514361984442157,0.0021641181386361677,1.0766743784229221e-05
Hybrids,1,828,140,828,0.004079172115439208,0.031045276099688487,0.8519909490832843,0.0020081316442005902,9.31286434493453e-06
Hybrids,1,874,145,874,0.0041858106122242885,0.02813597741525722,0.8556745620225298,0.002317702593298095,1.1049018798055632e-05
Hybrids,1,898,150,898,0.004200590872523255,0.02734875206124384,0.8573810938858466,0.0023008497759869737,1.0854610394268038e-05
Hybrids,1,861,155,861,0.004095057715854135,0.027264073304406652,0.8591846153080873,0.0020944731248981672,8.950217841541454e-06
Hybrids,1,874,160,874,0.004066048953016689,0.02663973503410668,0.8594713098359422,0.002237831033919067,1.0173214097966197e-05
Hybrids,1,892,165,892,0.003939200910647435,0.026378403229960944,0.8615890823438197,0.0022060223779103,9.668406097421966e-06
