Algorithm,Seed,Population,Generation,Solutions,GD,IGD,HV,S,STE
Hybrids,1,18,1,18,0.19439893483055365,0.2572633109593618,0.45150404938036975,0.011587972364845388,0.00044175950333695513
Hybrids,1,29,5,29,0.1497848223414265,0.2220631274696173,0.5021808826383991,0.013645911487611012,0.00046506896273182694
Hybrids,1,42,10,42,0.11410821852907571,0.1902557622577568,0.5756936744138069,0.009000218451759686,0.00021769207198650678
Hybrids,1,50,15,50,0.101602746701853,0.15912140778711137,0.6032715437479199,0.011436208755608296,0.00030059369290829046
Hybrids,1,64,20,64,0.06698946000668801,0.1374167208220799,0.6360314241492182,0.008322364434034652,0.0001511292624900523
Hybrids,1,61,25,61,0.04938986324528927,0.11976765223747801,0.6583714086869465,0.015393975345168268,0.0004907938579586424
Hybrids,1,70,30,70,0.04126412192095291,0.10338938111856516,0.6886001455107209,0.01680485165735477,0.0006133431355180333
Hybrids,1,83,35,83,0.039402367255771197,0.09246512733098367,0.7046426463743274,0.007988907461044885,0.00012389580312907177
Hybrids,1,103,40,103,0.033911609795292424,0.0863899539637951,0.7194141389612533,0.005322680774410395,7.034932149707935e-05
Hybrids,1,117,45,117,0.03085505215424661,0.0815038615342838,0.7283493702961974,0.009638737774892782,0.0002427774562698681
Hybrids,1,128,50,128,0.027174479764579807,0.07667721824860682,0.7360257997330086,0.0035310913009592797,4.1445244682843675e-05
Hybrids,1,143,55,143,0.022550751423916063,0.07418777321032916,0.7408446051654752,0.0041206164467323635,5.229516535491997e-05
Hybrids,1,136,60,136,0.017055793382285994,0.07102635530076504,0.7453570094620796,0.004587903426012959,6.870399261592181e-05
Hybrids,1,154,65,154,0.01651485711215591,0.06879144617261249,0.7473469791044942,0.0035739571513482443,4.159144563455548e-05
Hybrids,1,153,70,153,0.016415471014211227,0.06666059451490451,0.7530171079287078,0.0037080159295428535,4.4243750392525464e-05
Hybrids,1,144,75,144,0.01550039295970793,0.06440123462878992,0.7563963301891119,0.0039873695211960405,4.720290138373728e-05
Hybrids,1,168,80,168,0.014498788488253991,0.06297648347181169,0.760115034685156,0.009740117962233362,0.00022902393908632264
Hybrids,1,168,85,168,0.014436267255957333,0.05864093900924479,0.7626494544446764,0.009752457254951497,0.00021677082382891007
Hybrids,1,174,90,174,0.013815186696765644,0.05782460700105675,0.7656101559132156,0.003342175467358517,2.5315980699122483e-05
Hybrids,1,172,95,172,0.013271358794096598,0.058307207352522206,0.7705383349017884,0.0034247486321086714,2.748408673552268e-05
Hybrids,1,159,100,159,0.014439230933411817,0.05658305100882686,0.7691270382967328,0.003976363805114498,3.35068626229704e-05
Hybrids,1,154,105,154,0.014428226230461657,0.05308370429080158,0.7688959731787008,0.004323191840354961,3.866093649788891e-05
Hybrids,1,169,110,169,0.01474550497008752,0.052674685004868584,0.7737741080510352,0.004526707554280204,4.240964868021964e-05
Hybrids,1,190,115,190,0.015240186296886109,0.050601488615883074,0.7752799904055699,0.0037561680560311787,2.8287170196639766e-05
Hybrids,1,195,120,195,0.014430317454741503,0.04925603533782608,0.7775516420201305,0.0037252657268697573,2.7697269515240088e-05
Hybrids,1,193,125,193,0.015000235147739077,0.046324890688955796,0.7842321310415736,0.0034835949884420795,2.5170569789188974e-05
Hybrids,1,207,130,207,0.01646885597888433,0.045911536278598626,0.7846496990828025,0.003601141357678578,2.5720288911564158e-05
Hybrids,1,208,135,208,0.017452418544658434,0.04532387273915791,0.7897539846518271,0.003912955467274613,3.0152454387804393e-05
Hybrids,1,197,140,197,0.016849508502546122,0.04371271700017883,0.7905182778813642,0.003383069797060209,2.355264952355059e-05
Hybrids,1,195,145,195,0.01655098566968837,0.04387342613230871,0.794680229713289,0.004307501082440389,3.6298414585345496e-05
Hybrids,1,209,150,209,0.017179392158230878,0.040760063414920396,0.8034634585225743,0.003543490604954942,2.251290361032096e-05
Hybrids,1,204,155,204,0.015677640197083998,0.03921492506654028,0.8045785315120316,0.003987945273379511,3.443213796247538e-05
Hybrids,1,222,160,222,0.016406721984672915,0.03753490159139242,0.8072134272495213,0.009372288616118205,0.0001633808713538307
Hybrids,1,212,165,212,0.01680223968740485,0.03710784334626518,0.8057964965387429,0.009602637705258666,0.00016796899697873717
Hybrids,1,228,170,228,0.015495508918731499,0.03621855192962943,0.8093910760217644,0.004419936483953789,4.074933128212768e-05
Hybrids,1,226,175,226,0.015827091538458033,0.035599281766940286,0.8107132222481568,0.0042811207680862095,3.793434813857399e-05
Hybrids,1,206,180,206,0.015125103492214655,0.034801509411961785,0.8146590578248544,0.0040385194687829395,3.628421363661609e-05
Hybrids,1,217,185,217,0.01472536879777941,0.033443710753241686,0.8149852020627177,0.0037200835933706732,3.078019557059818e-05
Hybrids,1,216,190,216,0.014672749209385598,0.03322003445577078,0.8150927928154083,0.004016348488457813,3.587793561049741e-05
Hybrids,1,221,195,221,0.014688817046160454,0.03336076023995876,0.8152093368603439,0.003892448007875495,3.2715667550582656e-05
Hybrids,1,211,200,211,0.013694280853122786,0.03226087429283736,0.8160945529379441,0.004215250318733791,3.73169039277538e-05
Hybrids,1,195,205,195,0.014225417540568618,0.033802589907814956,0.8153724914682393,0.004536738238170857,3.854846286052811e-05
Hybrids,1,196,210,196,0.013626096937382237,0.0313458739273049,0.8153870389978801,0.005129525509422279,4.963570264505913e-05
Hybrids,1,201,215,201,0.013669350399437976,0.030675980609419975,0.8154150863626178,0.005499624287526356,5.682263222396668e-05
Hybrids,1,219,220,219,0.01394026112228157,0.02865914373964756,0.8207632618652096,0.004266266078892869,3.323621192368013e-05
Hybrids,1,225,225,225,0.013564968449091327,0.026429880422415203,0.8229829386043257,0.004695295879328886,3.997955371843215e-05
Hybrids,1,234,230,234,0.013672800172210063,0.02578910842013632,0.8272173663464155,0.004659422581302919,3.9044105430817594e-05
Hybrids,1,219,235,219,0.013666664591205234,0.024766105965136335,0.8297604912810601,0.004361164826142069,3.3876129812077366e-05
Hybrids,1,219,240,219,0.013550664396090687,0.024277200926770513,0.8312630019977802,0.004788156606298098,4.061437680709418e-05
Hybrids,1,224,245,224,0.013517720256817039,0.022699745806354373,0.8352342198827014,0.0038294058121058016,2.491149407930725e-05
