Seed,Metric,Best_Algorithm,Best_Value,Worst_Algorithm,Worst_Value,Value_Range,Num_Algorithms,All_Algorithms,All_Values
1,GD,Hybrids,0.0026013520357532,NSGA2,0.0175647600852176,0.014963408049464399,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.01756476, NSGA3: 0.00521024, UNSGA3: 0.01292177, SMSEMOA: 0.00798984, Hybrids: 0.00260135"
1,IGD,Hybrids,0.0056788582211545,NSGA2,0.0270424238887441,0.0213635656675896,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.02704242, NSGA3: 0.02211662, UNSGA3: 0.02206728, SMSEMOA: 0.02094072, Hybrids: 0.00567886"
1,HV,Hybrids,0.9329000085529466,SMSEMOA,0.8652118700829804,-0.06768813846996624,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.87902576, NSGA3: 0.88092898, UNSGA3: 0.88848559, SMSEMOA: 0.86521187, Hybrids: 0.93290001"
1,S,SMSEMOA,0.0026704070876007,UNSGA3,0.003572328900195,0.0009019218125943,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.00340292, NSGA3: 0.00345517, UNSGA3: 0.00357233, SMSEMOA: 0.00267041, Hybrids: 0.00284462"
1,STE,Hybrids,1.1643494138698042e-05,NSGA3,2.7699212099163093e-05,1.605571796046505e-05,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.00001575, NSGA3: 0.00002770, UNSGA3: 0.00002660, SMSEMOA: 0.00001504, Hybrids: 0.00001164"
2,GD,Hybrids,0.00433879376191,NSGA2,0.0170911999683142,0.0127524062064042,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.01709120, NSGA3: 0.01078366, UNSGA3: 0.00829052, SMSEMOA: 0.00525019, Hybrids: 0.00433879"
2,IGD,Hybrids,0.0072243347625375,UNSGA3,0.0272851746210552,0.0200608398585177,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.02357063, NSGA3: 0.02581812, UNSGA3: 0.02728517, SMSEMOA: 0.01944774, Hybrids: 0.00722433"
2,HV,Hybrids,0.9217177728560568,SMSEMOA,0.8766723235126219,-0.04504544934343491,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.89335383, NSGA3: 0.89034630, UNSGA3: 0.89482369, SMSEMOA: 0.87667232, Hybrids: 0.92171777"
2,S,Hybrids,0.0030554741753023,NSGA2,0.0043249478556466,0.0012694736803442997,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.00432495, NSGA3: 0.00387342, UNSGA3: 0.00331715, SMSEMOA: 0.00307862, Hybrids: 0.00305547"
2,STE,Hybrids,1.3463338084115433e-05,NSGA3,3.500682201938951e-05,2.1543483935274076e-05,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.00002563, NSGA3: 0.00003501, UNSGA3: 0.00002695, SMSEMOA: 0.00002089, Hybrids: 0.00001346"
3,GD,Hybrids,0.0040634446593289,NSGA2,0.0156071065264142,0.0115436618670853,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.01560711, NSGA3: 0.00571842, UNSGA3: 0.00589548, SMSEMOA: 0.00779231, Hybrids: 0.00406344"
3,IGD,Hybrids,0.0068543508114775,UNSGA3,0.0264826857545582,0.0196283349430807,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.02532782, NSGA3: 0.02304092, UNSGA3: 0.02648269, SMSEMOA: 0.01730914, Hybrids: 0.00685435"
3,HV,Hybrids,0.9246126499382304,NSGA3,0.8849149784385788,-0.03969767149965164,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.88629172, NSGA3: 0.88491498, UNSGA3: 0.89850870, SMSEMOA: 0.88615804, Hybrids: 0.92461265"
3,S,Hybrids,0.0025429313845309,NSGA2,0.0036470495536969,0.0011041181691659996,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.00364705, NSGA3: 0.00335048, UNSGA3: 0.00298375, SMSEMOA: 0.00330631, Hybrids: 0.00254293"
3,STE,Hybrids,9.88636450117335e-06,NSGA3,2.8355155518304596e-05,1.8468791017131245e-05,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.00001908, NSGA3: 0.00002836, UNSGA3: 0.00002268, SMSEMOA: 0.00001938, Hybrids: 0.00000989"
4,GD,Hybrids,0.0027667105427753,NSGA2,0.0191364574077225,0.0163697468649472,5,"NSGA2, NSGA3, UNSGA3, SMSEMOA, Hybrids","NSGA2: 0.01913646, NSGA3: 0.00803102, UNSGA3: 0.00689347, SMSEMOA: 0.00698773, Hybrids: 0.00276671"
